"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
6,3,1,2,5,1,1,2,2,10000
4,1,1,2,5,3,1,2,2,10000
5,3,1,1,1,3,1,3,2,10000
4,6,1,2,1,3,2,3,2,10000
5,6,1,1,1,1,2,4,2,10000
4,3,1,3,1,3,2,4,2,10000
6,1,1,1,1,1,1,5,2,10000
5,1,1,3,5,1,2,5,2,10000
4,6,1,3,1,3,1,2,4,10000
6,6,1,2,1,1,2,2,4,10000
5,3,1,3,5,1,2,2,4,10000
4,3,1,1,5,1,1,3,4,10000
4,1,1,3,1,1,2,3,4,10000
6,1,1,2,5,3,2,3,4,10000
5,1,1,2,1,1,1,4,4,10000
6,3,1,1,5,3,2,5,4,10000
5,1,1,1,1,3,2,2,6,10000
6,3,1,3,1,1,1,3,6,10000
6,6,1,3,5,3,1,4,6,10000
4,6,1,1,5,1,2,4,6,10000
5,6,1,2,5,3,1,5,6,10000
5,3,1,2,1,1,2,5,6,10000
