start+AF8-date,end+AF8-date,unique+AF8-sent,bounced,unique+AF8-opened,unique+AF8-clicks,intro,headline,main+AF8-text,button,action,purpose,symbol
28/11/2014,15/01/2015,63071,785,34566,6006,L1,L1,L1,L1,L1,L1,L1
28/11/2014,15/01/2015,62686,814,34234,6712,L1,L2,L2,L1,L2,L4,L2
28/11/2014,15/01/2015,62742,688,34672,5932,L1,L3,L2,L2,L1,L2,L2
28/11/2014,15/01/2015,62203,908,33677,6140,L1,L4,L1,L2,L2,L3,L1
28/11/2014,15/01/2015,62667,690,34567,5403,L2,L1,L2,L2,L1,L3,L2
28/11/2014,15/01/2015,62376,765,34364,7117,L2,L2,L1,L2,L2,L2,L1
28/11/2014,15/01/2015,62933,684,34707,5761,L2,L3,L1,L1,L1,L4,L1
28/11/2014,15/01/2015,62005,774,34039,6624,L2,L4,L2,L1,L2,L1,L2
28/11/2014,15/01/2015,62992,683,34733,6636,L3,L1,L1,L2,L2,L4,L2
28/11/2014,15/01/2015,62487,707,34480,6925,L3,L2,L2,L2,L1,L1,L1
28/11/2014,15/01/2015,62295,824,33967,7259,L3,L3,L2,L1,L2,L3,L1
28/11/2014,15/01/2015,62757,639,35144,6830,L3,L4,L1,L1,L1,L2,L2
28/11/2014,15/01/2015,61746,930,33439,6219,L4,L1,L2,L1,L2,L2,L1
28/11/2014,15/01/2015,63148,603,35108,5761,L4,L2,L1,L1,L1,L3,L2
28/11/2014,15/01/2015,62014,826,34072,7067,L4,L3,L1,L2,L2,L1,L2
28/11/2014,15/01/2015,62558,714,34455,5577,L4,L4,L2,L2,L1,L4,L1
28/11/2014,15/01/2015,156360,1805,69845,7941,,,,,,,
