MESSAGE_ID,MESSAGE,LENGTH
2425,Thank you! Enjoy MORE Everything *YOU’LL LOVE IT! *Make the most of your new plan’s savings & shareable data - add a new device today! * Take A Look ▶ *Show Me More,164
2426,"Thank you! Enjoy MORE Everything *CONGRATS! *Check out our selection for you — add a new phone, tablet, or other device! *Click Here to See For Yourself '>> *Show Me More",170
2427,"Thank you! Enjoy MORE Everything *YOU'RE IN! *Check out our selection for you — add a new phone, tablet, or other device! *'>> Have A Look *Show Me More",152
2428,Thank you! Enjoy MORE Everything *FINALLY! *Make the most of your new plan’s savings & shareable data - add a new device today! *▶ Click Here to View More *Show Me More,168
2429,"Welcome to MORE Everything *YOU’LL LOVE IT! *Check out our selection for you — add a new phone, tablet, or other device! *'>> View More *Show Me More",149
2430,Welcome to MORE Everything *CONGRATS! *Make the most of your new plan’s savings & shareable data - add a new device today! *▶ Click Here to Have A Look *Show Me More,165
2431,Welcome to MORE Everything *YOU'RE IN! *Make the most of your new plan’s savings & shareable data - add a new device today! * See For Yourself ▶ *Show Me More,158
2432,"Welcome to MORE Everything *FINALLY! *Check out our selection for you — add a new phone, tablet, or other device! *Click Here to Take A Look '>> *Show Me More",158
2433,MORE Everything has been activated *YOU’LL LOVE IT! *Make the most of your new plan’s savings & shareable data - add a new device today! *'>> Click Here to See For Yourself *Show Me More,186
2434,"MORE Everything has been activated *CONGRATS! *Check out our selection for you — add a new phone, tablet, or other device! *▶ Take A Look *Show Me More",151
2435,"MORE Everything has been activated *YOU'RE IN! *Check out our selection for you — add a new phone, tablet, or other device! *Click Here to View More ▶ *Show Me More",164
2436,MORE Everything has been activated *FINALLY! *Make the most of your new plan’s savings & shareable data - add a new device today! * Have A Look '>> *Show Me More,161
2437,"MORE Everything is designed for you *YOU’LL LOVE IT! *Check out our selection for you — add a new phone, tablet, or other device! *Click Here to Have A Look ▶ *Show Me More",172
2438,MORE Everything is designed for you *CONGRATS! *Make the most of your new plan’s savings & shareable data - add a new device today! * View More '>> *Show Me More,161
2439,MORE Everything is designed for you *YOU'RE IN! *Make the most of your new plan’s savings & shareable data - add a new device today! *'>> Click Here to Take A Look *Show Me More,177
2440,"MORE Everything is designed for you *FINALLY! *Check out our selection for you — add a new phone, tablet, or other device! *▶ See For Yourself *Show Me More",156
2441,It's time for *MORE FUN. *Make the most of your new plan's savings & shareable data - add a new device today! *Find a Device,124
